pet_name,pet_gender,pet_age,location,link,pet_breed,pet_color,pet_id,pet_hair,pet_rescue,pet_address,Spayed,Neutered,Spayed / Neutered,Shots Up to Date,Has Special Needs,Declawed,Not Good with Kids,Good with Kids,House-trained,Good with Cats,Not Good with Cats,Good with Dogs,Not Good with Dogs,Needs Experienced Adopter
Howie,Male,"
              3 years old, ","Chicago, IL",https://www.adoptapet.com/pet/25441882-chicago-illinois-cat,Domestic Shorthair,Orange or Red (Mostly),,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Oscar Evans,Male,"
              9 years old, ","Chicago, IL",https://www.adoptapet.com/pet/25399024-chicago-illinois-cat,Domestic Mediumhair,Orange or Red (Mostly),,medium,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,,,,,,,,,,,
Chom Chom,Female,"
              1 year old, ","Chicago, IL",https://www.adoptapet.com/pet/25377331-chicago-illinois-cat,Domestic Shorthair,Tan or Fawn Tabby,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,,,,,,,,,,,,,
Vera,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25346844-chicago-illinois-cat,Domestic Shorthair,Gray or Blue (Mostly),,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,Yes,,,,
Mrs Cuddles,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25337096-chicago-illinois-cat,Domestic Shorthair,Tiger Striped,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,
Buddy,Male,"
              6 years old, ","Chicago, IL",https://www.adoptapet.com/pet/25335474-chicago-illinois-cat,Domestic Shorthair,Orange or Red,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Elaine,Female,"
              3 years old, ","Chicago, IL",https://www.adoptapet.com/pet/24805935-chicago-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,
Annie Bananie,Female,"
              1 year old, ","Chicago, IL",https://www.adoptapet.com/pet/25291739-chicago-illinois-cat,Domestic Shorthair,Tiger Striped,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,Yes,,,,
Mixon,Male,"
              8 years old, ","Chicago, IL",https://www.adoptapet.com/pet/25283008-chicago-illinois-cat,Domestic Shorthair,Brown Tabby,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,,,,,,,Yes,,,,Yes
Chester the Second,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25281664-chicago-illinois-cat,Domestic Shorthair,Orange or Red Tabby,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Morrie,Male,"
              2 years old, ","Chicago, IL",https://www.adoptapet.com/pet/25281598-chicago-illinois-cat,Snowshoe,Tan or Fawn (Mostly),,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Pauline,Female,kitten,"Tinley Park, IL",https://www.adoptapet.com/pet/25200517-tinley-park-illinois-kitten,Domestic Shorthair,All Black,41569233,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Kitty,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/23093120-tinley-park-illinois-cat,Domestic Shorthair,Gray or Blue,38069698,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Cole,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/21582502-tinley-park-illinois-cat,Domestic Shorthair,All Black,10069320,short,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",,Yes,,,,Yes,,,,,,,,
Samantha,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25028825-tinley-park-illinois-cat,Domestic Shorthair,All Black,41143965,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Sheba,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25200431-tinley-park-illinois-cat,Domestic Shorthair,All Black,41026506,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Margaret,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25124085-tinley-park-illinois-cat,Domestic Shorthair,All Black,41249125,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Stella,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25379627-tinley-park-illinois-cat,Domestic Shorthair,All Black,31418424,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Mary,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25124084-tinley-park-illinois-cat,Domestic Shorthair,Tan or Fawn,41249128,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Andy,Male,young,"Tinley Park, IL",https://www.adoptapet.com/pet/25425190-tinley-park-illinois-cat,Domestic Shorthair,Gray or Blue,41633326,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",,Yes,,,,,,,,,,,,
Hunter,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25425325-tinley-park-illinois-cat,Domestic Shorthair,Orange or Red,41585449,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",,Yes,,,,,,,,,,,,
Marigold (Foster Home),Female,kitten,"Tinley Park, IL",https://www.adoptapet.com/pet/25425868-tinley-park-illinois-kitten,Domestic Shorthair,All Black,41246628,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Aldo,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/24687282-tinley-park-illinois-cat,Domestic Shorthair,Brown or Chocolate,40859160,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",,Yes,,,,,,,,,,,,
Artemis,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/23081067-tinley-park-illinois-cat,Himalayan/Domestic Shorthair,Tan or Fawn,39533283,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,Yes,,,,,,,,
Penny (FIV+),Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/20714190-tinley-park-illinois-cat,Domestic Shorthair,Brown or Chocolate,37742731,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Karma,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/24110006-tinley-park-illinois-cat,Domestic Shorthair,Brown or Chocolate,40311713,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Lilly,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/22355442-tinley-park-illinois-cat,Domestic Shorthair,Gray or Blue,38768736,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Ronnie,Male,kitten,"Tinley Park, IL",https://www.adoptapet.com/pet/24540072-tinley-park-illinois-kitten,Domestic Shorthair,Orange or Red,33424945,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",,Yes,,,,,,,,,,,,
Lalisa,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/24954713-tinley-park-illinois-cat,Domestic Shorthair,White,41170363,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Zorro,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25244334-tinley-park-illinois-cat,Domestic Shorthair,All Black,41349733,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",,Yes,,,,,,,,,,,,
Jax,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25053647-tinley-park-illinois-cat,Domestic Shorthair,Brown or Chocolate,41303311,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",,Yes,,,,,,,,,,,,
Mitzi,Female,senior,"Tinley Park, IL",https://www.adoptapet.com/pet/25450168-tinley-park-illinois-cat,Domestic Longhair/Domestic Shorthair,All Black,41647830,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Molly,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/24869363-tinley-park-illinois-cat,Domestic Shorthair,Brown or Chocolate,16898449,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,Yes,,,,,,,,
Navarro,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/25187540-tinley-park-illinois-cat,Domestic Shorthair,All Black,41401880,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",,Yes,,,,,,,,,,,,
Sammie,Female,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/24083085-tinley-park-illinois-cat,Domestic Shorthair,All Black,40261053,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Allie,Female,kitten,"Tinley Park, IL",https://www.adoptapet.com/pet/25308246-tinley-park-illinois-kitten,Domestic Shorthair,All Black,41403159,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
Gino,Male,senior,"Tinley Park, IL",https://www.adoptapet.com/pet/25475168-tinley-park-illinois-cat,Domestic Mediumhair/Domestic Shorthair,White,7651290,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",,Yes,,,,,,,,,,,,
Mia,Female,senior,"Tinley Park, IL",https://www.adoptapet.com/pet/25475166-tinley-park-illinois-cat,Domestic Mediumhair/Domestic Shorthair,White,7651363,,P.A.W.S. (Peoples Animal Welfare Society),"Tinley Park, IL",Yes,,,,,,,,,,,,,
